place,team,team id,score,member name,member id,member email,member score
1,teama,23,7893,,,,
,,,,kos,20,kos@gmail.com,4225
,,,,nyx,44,dimp@gmail.com,1000
,,,,Li,52,lin@gmail.com,2668
2,teamb,28,4175,,,,
,,,,jed,19,m.ju@gmail.com,1792
,,,,pat,25,pat@gmail.com,1029
,,,,ara,43,arr@gmail.com,1354
3,teamc,25,4108,,,,
,,,,Aku,10,mid@gmail.com,775
,,,,bes,18,udi@gmail.com,1451
,,,,Raf,23,tak@gmail.com,1882
4,teamd,32,3652,,,,
,,,,Nam,33,adh@gmail.com,600
,,,,yes,34,nov@gmail.com,2688
,,,,inl,53,qol@gmail.com,364
